NDVI,LST
0.506782,18.5354546
0.52215,19.9666666
0.682284,22.45
0.120046,-7.18
0.568734,21.71
0.454228,25.4414286
0.508299,13.5175
0.519243,21.61
0.696477,20.01
0.57501,30.2338096
0.433218,21.272557
0.631009,18.1315384
0.635615,21.5367538
0.608305,17.1
0.596891,13.5728302
0.339097,10.045
0.569658,16.09
0.502957,32.89
0.506682,21.339365
0.64064,13.8436
0.6191,12.55
0.560908,26.4070588
0.44088,21.7692914
0.579521,27.4926866
0.421213,35.2632768
0.486325,27.3091666
0.686572,9.63
0.634834,20.661942
0.614242,15.76
0.525014,20.05
0.575182,22.12
0.43879,31.0146154
0.5545,11.11
0.540683,24.8558904
0.532021,32.7170588
0.656264,17.77
0.594663,9.88
0.588483,22.2943776
0.675575,27.52
0.556863,23.01
0.546875,18.5332558
0.533645,28.6671428
0.688404,23.55
0.603207,26.55
0.638939,20.22
0.425514,16.99
0.600452,26.7979246
0.563287,12.4883648
0.482204,34.2245284
0.563287,20.319804
0.543882,32.51
0.602972,23.0363158
0.638503,28.3515094
0.588702,0.8389474
0.713023,25.4972728
0.472832,13.75
0.717785,27.93
0.373782,29.8827272
0.359946,34.0354546
0.6927,18.29
0.596961,17.03
0.522106,14.23
0.602314,20.0486886
0.534302,20.50375
0.521693,29.6147058
0.58055,29
0.57065,22.7212
0.672834,19.37
0.586997,5.25
0.471685,21.63
0.628291,25.2237736
0.63684,24.543789
0.577265,3.5948
0.519172,27.51
0.502624,11.44
0.62055,20.1758064
0.667647,28.55
0.636119,24.27
0.571949,32.4871428
0.614769,26.6625582
0.472933,25.445
0.633808,20.66767
0.578655,1.7926088
0.424832,26.527742
0.092547,-3.43
0.573026,21.27
0.444346,30.713033
0.600845,22.55
0.474726,20.7418794
0.611728,25.15
0.630937,17.5402886
0.673342,23.67
0.629026,5.07
0.617781,25.53
0.433112,20.59752
0.490881,29.1633334
0.500597,22.2941666
0.593139,19.2066666
0.565399,14.5614286
0.434679,28.154
0.525336,26.2733334
0.66026,16.1388888
0.685019,18.93
0.503555,33.6213044
0.601725,23.9736364
0.591912,24.91
0.57594,29.03
0.582301,26.0855556
0.570747,16.9382572
0.60287,15.8033334
0.401609,4.1163636
0.599489,21.08
0.555382,20.7966666
0.50683,13.5214286
0.591742,11.5438888
0.548443,29.4538096
0.444175,17.41
0.636726,15.2228814
0.472408,22.9655556
0.587625,24.476
0.683897,23.73
0.558721,27.6387302
0.545559,9.1183978
0.579063,17.5052
0.425139,16.7626666
0.614242,15.76
0.568812,20.8266666
0.60056,24.8048148
0.61425,19.58
0.568388,19.01
0.506331,21.37
0.530633,22.8680488
0.517031,17.3792858
0.569022,24.5826882
0.588788,18.33
0.391421,8.73
0.595854,20.487037
0.57268,29.26375
0.562434,30.8276744
0.573356,-0.34
0.428883,21.1555
0.556638,32.3
0.630026,14.7675438
0.580193,18.35
0.659175,18.63
0.377639,21.0158824
0.576844,17.75
0.62222,16.13
0.60495,24.9601712
0.536268,6.81
0.656264,17.77
0.496743,27.6283334
0.480501,7.2942106
0.50297,21.690187
0.503497,15.1583478
0.585781,27.7166666
0.598009,10.7157142
0.713342,23.81
0.605086,8.68
0.495869,18.1408064
0.478873,29.94
0.530114,31.2719576
0.622892,9.0946512
0.602128,26.266
0.529735,17.59
0.600585,16.49
0.579892,29.81
0.601972,21.7971428
0.59929,27.9842858
0.633808,20.66767
0.504636,11.9733962
0.475246,7.73
0.558943,24.1981818
0.579681,25.91
0.502867,16.8441594
0.552938,17.665
0.550412,21.6068
0.130482,3.1325
0.587878,18.13
0.536745,11.745
0.634218,16.8619868
0.698006,24.33
0.515248,12.8033334
0.624118,28.6229578
0.618764,26.2855556
0.515752,23.7410526
0.50801,33.027647
0.14337,2.0633334
0.616006,19.05
0.610716,27.55
0.669458,17.00695
0.645072,23.75
0.495869,18.1408064
0.579521,27.4926866
0.550884,21.6062162
0.566751,12.39
0.58807,11.601791
0.655654,17.0452632
0.469593,18.922549
0.472267,24.8456862
0.537299,22.712353
0.707885,16.1223006
0.515843,28.3522608
0.537155,26.34
0.582378,7.5516666
0.606958,16.81
0.556868,27.502
0.634759,10.77
0.538456,27.079637
0.534588,28.5647058
0.63856,19.97
0.319861,9.2166666
0.473636,39.0814102
0.472834,31.1436
0.515455,18.7252
0.484558,10.6875
0.709763,14.63
0.553826,17.92
0.695231,12.34
0.512105,6.95
0.568952,12.5672094
0.500036,22.250383
0.631085,24.45
0.509767,17.9
0.431869,19.2045046
0.572342,31.87
0.688899,18.7596296
0.668532,17.71
0.583612,18.33
0.497435,17.53
0.515075,21.09
0.699087,6.5902298
0.552452,16.7166666
0.589768,22.3033334
0.588323,2.0985714
0.483698,10.4572132
0.63523,21.65
0.580253,27.2907318
0.442523,20.424
0.602914,25.27
0.64596,17.1832142
0.587937,11.21
0.685834,3.588
0.537944,6.79
0.667157,16.23
0.665819,13.05
0.679133,25.87
0.469879,27.1461498
0.474252,13.51
0.473636,39.0814102
0.515379,24.0088888
0.525014,20.05
0.605861,16.444
0.639072,25.11
0.585609,32.0305882
0.696477,20.01
0.582252,13.99
0.624118,28.6229578
0.539537,21.75
0.575282,26.11
0.61157,26.5742858
0.543776,30.3370512
0.537051,33.49
0.586352,22.8816546
0.464733,21.4313664
0.667998,10.8133334
0.529811,24.0713484
0.560765,14.462353
0.580538,21.61
0.579751,26.314195
0.494559,21.6452728
0.604216,13.26
0.3843,20.49
0.605759,25.0977966
0.686328,23.48
0.567085,17.67
0.506841,17.7525
0.658547,23.49
0.534065,29.7114814
0.487356,25.8363158
0.522958,15.7275
0.572166,7.6548148
0.688334,19.745
0.556998,17.465
0.537218,20.89
0.588443,11.3337682
0.626398,17.1981912
0.472408,22.9655556
0.653523,22.5641176
0.628137,14.7318182
0.518381,26.9494118
0.604867,19.026
0.486992,13.6978048
0.592968,20.49
0.50015,10.85
0.507274,11.6736586
0.534665,21.97
0.60672,19.6271428
0.673325,18.2066666
0.627254,22.257234
0.669915,23.392069
0.613768,18.9634884
0.550011,28.4305264
0.676671,14.5642308
0.604581,10.3366666
0.615611,22.8766666
0.494794,27.8772728
0.526805,20.77
0.563287,12.4883648
0.680796,25.026
0.528994,14.66
0.560223,30.898421
0.473573,21.27
0.515435,18.9943078
0.497477,9.9417562
0.632962,12.9744444
0.550884,21.6062162
0.368507,15.29
0.520871,22.1733334
0.622246,24.614186
0.499069,26.99
0.120046,-7.18
0.608305,17.1
0.482134,30.8832276
0.524378,19.91
0.441518,20.8445388
0.694617,17.5233334
0.525014,20.05
0.548235,22.006
0.551964,36.2811112
0.560194,20.03
0.536222,22.99
0.10731,2.694
0.441966,36.2025672
0.478873,29.94
0.528675,5.93
0.563776,10.2766666
0.566519,9.31
0.525051,27.0839394
0.401609,4.1163636
0.468812,19.7287234
0.640686,24.01
0.478435,11.39
0.515052,11.1249674
0.63115,31.41
0.559342,20.6526666
0.441966,36.2025672
0.49346,20.9654286
0.608144,15.836
0.559439,24.31
0.605019,29.13
0.442329,12.3996296
0.473319,20.468
0.579506,19.17
0.652994,28.4
0.657085,16.59
0.478435,11.39
0.502898,21.15
0.662968,21.99
0.43433,21.9661404
0.60611,20.63
0.654292,29.01
0.536492,19.37
0.676258,21.36
0.621461,14.71
0.423742,17.8862576
0.426519,11.4157142
0.510788,27.0493334
0.696085,14.33
0.536977,22.5868422
0.533068,23.218
0.558044,26.2433334
0.583612,18.33
0.406965,4.31
0.605563,12.7751352
0.576353,22.8213726
0.449513,26.858
0.581125,19.4166666
0.452882,15.5009804
0.617781,25.53
0.663091,26.53
0.567387,31.7915094
0.464813,36.0030434
0.539518,18.1188888
0.582539,13.206
0.541174,3.12
0.596937,21.29
0.389513,25.1863546
0.48512,16.043975
0.681533,25.51
0.648838,18.2917544
0.614932,16.09
0.519862,29.38
0.598429,20.63
0.607632,22.6761318
0.538794,10.17
0.702344,20.1086402
0.699433,19.9044508
0.682466,19.89
0.660444,17.8575
0.46791,18.996923
0.428941,15.2006666
0.424902,23.09
0.708939,9.91
0.642696,18.8033334
0.631953,25.0174912
0.536685,20.0522222
0.570324,17.12
0.491819,5.8216814
0.527699,25.81
0.523611,27.2634744
0.453973,23.91
0.577438,29.73
0.512178,19.3389474
0.174045,2.4333802
0.449647,26.2577194
0.574245,27.46
0.632868,17.493871
0.572342,31.87
0.524845,21.0820626
0.483524,20.9189584
0.450263,35.6190196
0.534588,28.5647058
0.636939,12.9840466
0.479156,22.5311764
0.600617,24.68
0.467766,23.0086666
0.635206,15.13
0.467505,21.8486666
0.572482,14.17
0.556909,17.3366666
0.682284,22.45
0.456558,4.1413334
0.711535,6.15
0.671326,21.3835212
0.580911,27.2213726
0.439677,22.1589656
0.615611,22.8766666
0.522769,6.73
0.57268,29.26375
0.627471,21.7627586
0.564002,15.7538096
0.438145,14.2401818
0.624863,19.4269892
0.580912,22.258
0.48652,15.6288888
0.65587,18.09
0.623837,15.962381
0.513786,19.8946774
0.667583,9.15
0.644475,27.635
0.532313,16.63
0.480916,25.03
0.673747,15.9256522
0.70851,14.6714084
0.545559,9.1183978
0.65028,22.8525
0.569658,16.09
0.556669,24.0134766
0.396272,13.49
0.467998,23.6398688
0.55408,22.0833334
0.55267,15.636
0.605278,18.2033334
0.598544,24.54
0.734616,18.77
0.6601,16.86
0.603396,22.9938096
0.532569,27.8394118
0.547673,11.602
0.657085,16.59
0.485756,9.37
0.565173,12.102
0.423182,18.5732942
0.456703,24.47232
0.640377,16
0.48459,21.2080646
0.697041,12.03
0.695167,18.625
0.546486,13.71
0.619246,23.13
0.465956,12.918
0.5931,25.1713914
0.513785,17.3545454
0.618064,9.295
0.634633,25.3221428
0.530114,31.2719576
0.630733,14.3294388
0.563287,20.319804
0.573999,16.21
0.688334,19.745
0.543778,22.155
0.625488,25.6742858
0.421794,16.0671428
0.576319,14.9063636
0.571093,22.82
0.567085,17.67
0.572482,14.17
0.492132,24.706
0.517935,23.322353
0.478502,19.1372
0.641675,26.95
0.687941,15.11
0.446279,29.889275
0.121439,6.2336364
0.56985,5.13
0.552721,14.95
0.57627,26.0310782
0.586448,4.683012
0.58786,20.618
0.63613,21.0425396
0.687639,20.29
0.586448,4.683012
0.441084,12.6153334
0.456017,7.4
0.609722,14.4823668
0.466677,17.1915384
0.4275,24.49
0.538733,12.03
0.498599,17.7386666
0.662241,7.226129
0.544498,14.76
0.626756,23.09
0.434481,18.4818614
0.427322,2.8482906
0.410039,21.2733334
0.513233,21.03
0.570244,18.785
0.575863,6.7463044
0.626348,8.1124
0.631131,13.9766666
0.548776,21.5468628
0.485788,20.9589362
0.454228,25.4414286
0.579681,25.91
0.630227,23.1611112
0.715045,26.07
0.536006,21.15
0.516076,6.19
0.66514,14.6979688
0.431869,19.2045046
0.540635,21.2025
0.511655,16.3636
0.508593,25.233083
0.525051,27.0839394
0.657081,30.57
0.54554,16.57
0.592685,23.7109524
0.616579,25.89
0.58915,9.72
0.536325,16.6089744
0.602404,18.53
0.613795,19.0114634
0.563992,16.45
0.561,1.693
0.369285,24.53
0.651397,18.87
0.643733,19.9061702
0.487963,13.35
0.506076,18.6207692
0.631994,13.59
0.532199,34.9696004
0.651685,21.532171
0.601603,22.62
0.573024,28.045
0.441666,27.1826666
0.554327,18.742
0.4751,14.07
0.617811,22.987377
0.365765,20.2423596
0.600742,20.85
0.474517,19.78
0.584274,17.5740476
0.506443,8.4283334
0.631937,23.2247594
0.585315,28.9611112
0.436657,21.9334042
0.640391,25.1809092
0.538957,17.4017838
0.529811,24.0713484
0.439825,14.1157142
0.534045,34.0585714
0.731072,15.53
0.513625,11.6646666
0.675918,20.5146754
0.606789,13.4436842
0.519147,21.0842858
0.50297,21.690187
0.703983,24.2086562
0.512949,7.4692208
0.642466,10.01
0.574426,16.38
0.546154,18.0366088
0.608492,21.44
0.522825,22.49
0.622407,21.05
0.602715,22.75
0.663364,27.1922222
0.617781,25.53
0.467017,16.818
0.600926,21.0001408
0.514803,9.8749724
0.553002,32.516448
0.560956,31.643421
0.628873,18.39
0.531416,18.7128572
0.628137,14.7318182
0.585995,19.0199556
0.514508,21.01
0.63473,21.62
0.561629,20.26
0.529636,7.8411764
0.476538,31.4178948
0.581743,20.77
0.569896,11.5794118
0.52418,20.17
0.691341,25.99
0.481053,25.1175082
0.506683,36.2075
0.570774,19.1814286
0.470155,27.45
0.611015,8.7594496
0.612995,21.716393
0.613922,20.0640426
0.616928,18.39
0.614471,-0.93
0.464954,19.5567924
0.610429,18.7974074
0.623737,18.9048148
0.476217,29.9942024
0.471895,8.954
0.472134,16.7204
0.512805,28.6836952
0.585039,21.77
0.541603,16.4957142
0.632882,18.4606976
0.572598,25.18
0.424832,26.527742
0.466677,17.1915384
0.526296,25.22875
0.671326,21.3835212
0.625647,33.51
0.574426,16.38
0.610376,20.15
0.688382,23.55
0.631031,26.73
0.681533,25.51
0.461984,28.2702942
0.63684,24.543789
0.624277,7.8
0.594195,15.95
0.623532,12.17
0.427011,18.6894074
0.640565,18.7317392
0.540158,15.3754546
0.619163,23.17
0.655475,20.5311112
0.456017,7.4
0.695635,15.2322536
0.556622,25.65
0.484724,23.838421
0.673325,18.2066666
0.508305,22.3616666
0.577932,10.3616666
0.656426,14.76
0.611786,7.7366666
0.472834,31.1436
0.513625,11.6646666
0.659369,6.4577686
0.50354,18.45625
0.617843,21.318
0.547465,20.4142424
0.608402,10.83
0.674904,18.77
0.448412,16.6416758
0.53404,17.6018762
0.385054,15.8283334
0.536148,18.01
0.624118,28.6229578
0.523643,25.9042858
0.538799,7.1332076
0.329875,26.1354546
0.585081,17.718
0.472904,24.5923078
0.524633,22.17
0.697144,22.67
0.564743,22.01
0.468836,18.7397562
0.544291,29.93
0.518813,22.5262264
0.560461,28.6766666
0.588574,5.11
0.600663,26.97
0.567611,22.078
0.610429,18.7974074
0.559342,20.6526666
0.56985,5.13
0.638351,19.79
0.461352,19.67
0.615137,19.35
0.592345,3.3272222
0.527271,27.29
0.568734,21.71
0.590484,10.0366666
0.620817,15.46
0.634834,20.661942
0.636726,15.2228814
0.546738,15.4788888
0.479998,31.3696492
0.723267,23.33
0.642346,2.1411538
0.625392,14.73
0.588011,23.0868422
0.574426,16.38
0.56484,15.31
0.701565,9.7716666
0.58639,9.31
0.515248,12.8033334
0.655916,21.63
0.435367,21.2980102
0.510489,11.8925
0.476959,7.9366666
0.657366,19.765
0.429191,26.8849382
0.470658,24.5988888
0.504111,8.6011112
0.630556,5.4451614
0.619727,13.99
0.65963,25.21
0.594617,25.71
0.535231,28.5822222
0.503515,23.5310526
0.697767,23.51
0.515754,10.1220628
0.499876,30.0591666
0.573963,22.884
0.457004,19.77
0.585481,17.388
0.574706,18.263067
0.526338,26.1384988
0.533474,22.42
0.495343,21.75
0.592957,19.286
0.446279,29.889275
0.629497,30.6077778
0.547747,25.29
0.487941,17.1993334
0.497609,21.1242858
0.645652,24.73
0.624658,15.93
0.477516,34.679913
0.502366,15.1
0.588011,23.0868422
0.62542,15.221024
0.461416,8.7635714
0.490148,35.6810714
0.587625,24.476
0.447169,14.8806666
0.540663,1.83
0.611025,25.83
0.588391,17.63
0.634132,15.288919
0.532569,27.8394118
0.630983,21.36
0.723267,23.33
0.576046,21.96
0.661699,14.13
0.438553,21.2561538
0.622966,23.96
0.583466,14.8945714
0.63519,26.83
0.50354,18.45625
0.590409,28.1633334
0.538456,27.079637
0.606802,13.995
0.528226,34.3509524
0.644838,11.6045454
0.525336,26.2733334
0.654314,14.05
0.63352,24.23
0.697282,17.4922536
0.656282,12.7348276
0.623075,21.67
0.507127,24.6768966
0.622723,17.9166666
0.657366,19.765
0.62817,31.35
0.533279,1.13
0.578616,20.47
0.475513,18.8234356
0.661154,16.0647368
0.528958,11.23
0.619918,15.5826416
0.552122,15.6987818
0.636432,15.0715384
0.496884,29.13
0.559443,18.03
0.624507,23.4168086
0.475246,7.73
0.583939,24.5077778
0.479684,16.6539216
0.570595,21.2128572
0.506443,8.4283334
0.623075,21.67
0.607293,28.2686046
0.490843,20.3657894
0.636089,13.17
0.578944,23.5980342
0.504656,11.53
0.508428,31.1128282
0.559031,11.15
0.598507,23.5305
0.66698,27.0975824
0.557821,21.3495506
0.485886,12.6833334
0.599489,21.08
0.464954,19.5567924
0.650259,17.28
0.3435,24.1566666
0.700139,17.4572728
0.690175,23.80133
0.657174,19.8185714
0.665832,24.89
0.551964,20.0005928
0.486634,17.5875
0.522567,22.38
0.329875,26.1354546
0.610429,18.7974074
0.41455,10.3475
0.541603,16.4957142
0.519254,19.1684
0.587078,21.3777358
0.523873,20.1966666
0.634151,24.07
0.497872,26.72
0.635704,31.935
0.464543,19.7349776
0.512674,21.082
0.607559,26.8113794
0.446716,15.59
0.577146,17.92
0.623853,12.4585714
0.607123,8.37
0.567085,17.67
0.480901,25.6041176
0.561629,20.26
0.4765,30.275
0.639806,20.438
0.737729,24.75
0.477828,18.28
0.597231,19.755091
0.576391,23.7550704
